lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,4,3,0,valid_mcc,33,all,5,0.001,1,0.5885,0.9888,0.9681,0.7425,0.6449,0.93,0.0038,0.1859,0.6573,20
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,1,0.6364,0.9833,0.9653,0.6751,0.6372,0.9357,0.0049,0.1706,0.6667,17
facebook/esm2_t33_650M_UR50D,4,5,0,valid_mcc,33,all,5,0.001,1,0.5152,0.9923,0.9676,0.7859,0.621,0.9261,0.0068,0.1973,0.6523,24
facebook/esm2_t33_650M_UR50D,4,1,0,valid_mcc,33,all,5,0.001,0,0.6268,0.9812,0.9628,0.6453,0.6164,0.9336,0.023,0.1328,0.6274,11
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,1,0.6204,0.9863,0.9674,0.7125,0.6479,0.9268,0.0107,0.1602,0.6716,14
facebook/esm2_t33_650M_UR50D,4,1,0,valid_mcc,33,all,5,0.001,1,0.5439,0.9888,0.9658,0.7271,0.6117,0.9303,0.0084,0.1884,0.6417,16
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,0,0.5917,0.9869,0.9665,0.7121,0.6319,0.928,0.0052,0.1804,0.6494,18
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,1,0.638,0.9787,0.9611,0.6211,0.609,0.9297,0.007,0.1697,0.6603,17
facebook/esm2_t33_650M_UR50D,4,3,0,valid_mcc,33,all,5,0.001,1,0.5805,0.9869,0.9659,0.7082,0.6237,0.9231,0.006,0.1689,0.6561,17
facebook/esm2_t33_650M_UR50D,4,3,0,valid_mcc,33,all,5,0.001,0,0.5327,0.9927,0.9689,0.799,0.6377,0.9351,0.0061,0.2046,0.6629,23
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,1,0.563,0.9905,0.9684,0.7641,0.6402,0.9285,0.0048,0.1831,0.6663,18
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,0,0.547,0.989,0.9661,0.7313,0.6156,0.9359,0.0223,0.1313,0.6296,11
facebook/esm2_t33_650M_UR50D,4,5,0,valid_mcc,33,all,5,0.001,1,0.3812,0.9873,0.9559,0.6208,0.4653,0.8789,0.0665,0.1535,0.434,13
facebook/esm2_t33_650M_UR50D,4,5,0,valid_mcc,33,all,5,0.001,0,0.496,0.9922,0.9665,0.7775,0.6053,0.9328,0.0128,0.1574,0.6566,14
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,1,0.5295,0.9873,0.9636,0.6946,0.5881,0.9149,0.0075,0.1798,0.6566,15
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,0,0.4498,0.9893,0.9613,0.6963,0.5411,0.9276,0.1939,0.102,0.5552,6
