bce_weight,lr,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
40.0,0.0002,0.6411,0.9628,0.9461,0.4849,0.5299,0.917,0.4975,1.1604,0.5296
0.1,0.001,0.4306,0.9919,0.9628,0.7438,0.549,0.9074,0.0018,0.042,0.5868
0.25,0.001,0.4864,0.9902,0.9642,0.7314,0.5792,0.9248,0.0197,0.0404,0.5911
0.5,0.001,0.453,0.9939,0.9659,0.8023,0.5877,0.9282,0.0035,0.1134,0.6164
1.0,0.001,0.5789,0.9806,0.9598,0.6195,0.5777,0.9176,0.0446,0.1139,0.607
2.0,0.001,0.4753,0.9888,0.9622,0.6979,0.5575,0.8689,0.003,0.4423,0.6131
4.0,0.001,0.4625,0.9882,0.961,0.6824,0.5427,0.9201,0.0132,0.5935,0.6152
10.0,0.001,0.5582,0.9834,0.9613,0.647,0.5809,0.9368,0.028,1.2978,0.6019
20.0,0.001,0.6188,0.9708,0.9526,0.5367,0.5514,0.9279,0.1431,1.3289,0.5786
40.0,0.001,0.6252,0.974,0.9559,0.5673,0.5723,0.9294,0.0925,3.3637,0.6039
0.1,0.001,0.4482,0.9914,0.9632,0.7395,0.5586,0.9072,0.002,0.0513,0.6009
0.25,0.001,0.4402,0.993,0.9644,0.7753,0.5683,0.9216,0.0192,0.0411,0.6075
0.5,0.001,0.4864,0.992,0.9658,0.7683,0.5953,0.9008,0.0008,0.1443,0.6038
1.0,0.001,0.453,0.9907,0.9628,0.7263,0.5561,0.9193,0.0479,0.1193,0.6066
2.0,0.001,0.5152,0.9865,0.9621,0.6757,0.5708,0.933,0.0105,0.2879,0.6315
4.0,0.001,0.496,0.9883,0.9628,0.6989,0.5704,0.9186,0.0251,0.5432,0.596
10.0,0.001,0.4545,0.9831,0.9557,0.595,0.4975,0.9307,0.2242,0.6275,0.5685
20.0,0.001,0.5742,0.979,0.958,0.599,0.5644,0.9232,0.1113,1.5303,0.572
40.0,0.001,0.7002,0.9616,0.948,0.4989,0.5648,0.9407,0.1864,1.903,0.561
0.1,0.001,0.5199,0.9854,0.9613,0.6599,0.566,0.9067,0.0045,0.0301,0.5863
0.25,0.001,0.5981,0.9748,0.9553,0.5648,0.5576,0.9239,0.0206,0.0422,0.59
0.5,0.001,0.504,0.9877,0.9627,0.6915,0.5717,0.9211,0.0032,0.1149,0.6131
1.0,0.001,0.488,0.9871,0.9613,0.674,0.5542,0.9164,0.0169,0.14,0.6189
2.0,0.001,0.5008,0.9901,0.9647,0.7336,0.589,0.9022,0.0019,0.4409,0.6161
4.0,0.001,0.5614,0.9818,0.96,0.6275,0.5726,0.932,0.0163,0.5198,0.6085
10.0,0.001,0.5965,0.9801,0.9603,0.6213,0.5878,0.9293,0.0731,0.8769,0.587
20.0,0.001,0.6667,0.9672,0.9517,0.5264,0.5675,0.9355,0.1407,1.1661,0.589
40.0,0.001,0.638,0.976,0.9585,0.5917,0.5925,0.9384,0.0986,3.9596,0.5736
0.1,0.001,0.3971,0.9947,0.9637,0.8032,0.5497,0.9209,0.0131,0.0198,0.5843
0.25,0.001,0.4482,0.9915,0.9633,0.7414,0.5594,0.9165,0.0029,0.0692,0.5969
0.5,0.001,0.512,0.9866,0.962,0.6758,0.569,0.9285,0.0299,0.069,0.6044
1.0,0.001,0.4753,0.9911,0.9644,0.745,0.5782,0.9341,0.0194,0.1404,0.6016
2.0,0.001,0.4625,0.9889,0.9617,0.6954,0.5486,0.9245,0.0142,0.2625,0.6066
4.0,0.001,0.5104,0.9854,0.9608,0.6557,0.5585,0.9173,0.0166,0.5324,0.6075
10.0,0.001,0.4673,0.9884,0.9614,0.6878,0.5481,0.9224,0.1989,0.6278,0.6014
20.0,0.001,0.5837,0.9768,0.9565,0.5791,0.5585,0.9099,0.0302,2.4435,0.5949
40.0,0.001,0.6156,0.9769,0.9582,0.5929,0.5821,0.9284,0.0856,3.6319,0.5982
0.1,0.001,0.4625,0.9901,0.9627,0.7178,0.5584,0.924,0.0044,0.0302,0.5742
0.25,0.001,0.5598,0.9831,0.9612,0.644,0.5803,0.9207,0.0213,0.0424,0.5816
0.5,0.001,0.5407,0.9841,0.9612,0.6507,0.5731,0.9188,0.028,0.0703,0.6023
1.0,0.001,0.5104,0.982,0.9575,0.6072,0.5347,0.9073,0.0467,0.1163,0.601
2.0,0.001,0.5199,0.9855,0.9614,0.6626,0.5673,0.9233,0.009,0.3147,0.609
4.0,0.001,0.4673,0.9863,0.9594,0.6511,0.5314,0.9245,0.1228,0.2946,0.5871
10.0,0.001,0.5439,0.9814,0.9587,0.6144,0.5565,0.9269,0.0537,0.8439,0.6034
20.0,0.001,0.5662,0.9811,0.9596,0.6206,0.5716,0.9196,0.0987,1.9524,0.5934
40.0,0.001,0.689,0.9693,0.9548,0.551,0.5928,0.9451,0.1613,2.1735,0.5805
