lm_key,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,all,3,0.0005,1,0.5231,0.9882,0.9642,0.7084,0.5909,0.9354,0.0543,0.1065,0.5904,7
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,33,none,3,0.001,1,0.5167,0.9901,0.9656,0.7397,0.6015,0.9463,0.0966,0.0976,0.5721,5
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,33,none,3,0.0005,1,0.4498,0.9933,0.9651,0.7855,0.5788,0.936,0.0805,0.0976,0.5804,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,33,all,3,0.001,1,0.4912,0.9931,0.9671,0.7959,0.6102,0.932,0.0626,0.096,0.6403,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,33,all,3,0.0005,1,0.5008,0.9915,0.966,0.7621,0.6017,0.9316,0.0787,0.0965,0.5979,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,16,none,3,0.001,1,0.5056,0.99,0.9649,0.7338,0.592,0.9459,0.0986,0.0982,0.5654,5
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,16,none,3,0.0005,1,0.3987,0.9939,0.9631,0.7812,0.5424,0.9353,0.086,0.1011,0.5704,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,16,all,3,0.001,1,0.5423,0.9874,0.9643,0.701,0.5985,0.9456,0.0938,0.0951,0.5934,5
facebook/esm2_t33_650M_UR50D,2,0.1,valid_bce,16,all,3,0.0005,1,0.4753,0.9905,0.9638,0.7322,0.5727,0.9387,0.0798,0.101,0.5791,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,33,none,3,0.001,1,0.4609,0.9932,0.9656,0.7875,0.587,0.928,0.0639,0.1002,0.6091,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,33,none,3,0.0005,1,0.4769,0.9912,0.9646,0.7475,0.5803,0.9403,0.0557,0.1089,0.588,7
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,33,all,3,0.001,1,0.571,0.989,0.9674,0.7397,0.6334,0.9378,0.0601,0.0962,0.6132,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,33,all,3,0.0005,1,0.5407,0.9896,0.9664,0.7402,0.616,0.927,0.052,0.1006,0.6183,7
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,16,none,3,0.001,1,0.4912,0.991,0.9651,0.7494,0.5901,0.9129,0.0207,0.1549,0.6054,9
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,16,none,3,0.0005,1,0.4673,0.9922,0.965,0.765,0.5817,0.9157,0.0322,0.1331,0.584,9
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,16,all,3,0.001,1,0.496,0.9907,0.9651,0.744,0.5907,0.9261,0.0605,0.1054,0.6107,6
facebook/esm2_t33_650M_UR50D,2,0.1,valid_mcc,16,all,3,0.0005,1,0.4976,0.9909,0.9653,0.7482,0.5936,0.9386,0.0553,0.1072,0.5938,7
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,33,none,3,0.001,1,0.4976,0.9919,0.9663,0.7704,0.6033,0.9458,0.0901,0.0946,0.5903,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,33,none,3,0.0005,1,0.4402,0.9943,0.9656,0.807,0.5811,0.9351,0.0715,0.0972,0.5997,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,33,all,3,0.001,1,0.3844,0.9951,0.9635,0.8114,0.5436,0.9285,0.087,0.0993,0.5912,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,33,all,3,0.0005,1,0.5694,0.9858,0.9642,0.6865,0.6068,0.9463,0.101,0.1026,0.5789,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,16,none,3,0.001,1,0.4912,0.9915,0.9656,0.7586,0.5942,0.944,0.0918,0.096,0.5853,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,16,none,3,0.0005,1,0.4657,0.9908,0.9636,0.7337,0.5673,0.9434,0.1064,0.1014,0.5513,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,16,all,3,0.001,1,0.5726,0.9859,0.9645,0.6891,0.6098,0.9345,0.0576,0.0984,0.6033,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_bce,16,all,3,0.0005,1,0.504,0.9876,0.9626,0.69,0.571,0.944,0.1024,0.1012,0.5583,5
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,33,none,3,0.001,1,0.4545,0.9944,0.9665,0.8166,0.5946,0.9241,0.0558,0.1058,0.6326,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,33,none,3,0.0005,1,0.4896,0.9928,0.9667,0.7872,0.6054,0.9071,0.0144,0.1614,0.609,10
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,33,all,3,0.001,1,0.5455,0.9903,0.9673,0.755,0.6256,0.9369,0.0584,0.098,0.6256,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,33,all,3,0.0005,1,0.4928,0.9924,0.9665,0.7803,0.6045,0.9231,0.0437,0.1093,0.6134,7
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,16,none,3,0.001,1,0.4498,0.9944,0.9662,0.815,0.5908,0.9239,0.0569,0.1038,0.6157,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,16,none,3,0.0005,1,0.4817,0.9898,0.9635,0.7208,0.5716,0.9168,0.0104,0.1949,0.5988,11
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,16,all,3,0.001,1,0.6172,0.9825,0.9636,0.6582,0.6182,0.9342,0.0545,0.0992,0.6178,6
facebook/esm2_t33_650M_UR50D,4,0.0,valid_mcc,16,all,3,0.0005,1,0.4721,0.9914,0.9645,0.7494,0.5781,0.9344,0.0739,0.1,0.5982,6
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,33,none,3,0.001,1,0.5104,0.9929,0.9679,0.798,0.6233,0.9456,0.0884,0.0938,0.5918,5
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,33,none,3,0.0005,1,0.4418,0.9937,0.9651,0.7937,0.5768,0.9351,0.0728,0.0991,0.6007,6
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,33,all,3,0.001,1,0.5327,0.9909,0.9671,0.7608,0.6206,0.9254,0.0558,0.0961,0.6313,6
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,33,all,3,0.0005,1,0.4418,0.9935,0.9649,0.7869,0.5741,0.9302,0.0705,0.0995,0.6041,6
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,16,none,3,0.001,1,0.5008,0.9912,0.9658,0.7566,0.5992,0.9435,0.0912,0.0962,0.5897,5
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,16,none,3,0.0005,1,0.4593,0.9905,0.963,0.7254,0.5597,0.941,0.1075,0.1024,0.5402,5
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,16,all,3,0.001,1,0.3923,0.9955,0.9642,0.8255,0.5546,0.9377,0.0873,0.0993,0.5932,5
facebook/esm2_t33_650M_UR50D,4,0.1,valid_bce,16,all,3,0.0005,1,0.4928,0.9878,0.9622,0.6882,0.5636,0.9435,0.105,0.1029,0.5559,5
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,33,none,3,0.001,1,0.453,0.9939,0.9659,0.8023,0.5877,0.9309,0.0564,0.1028,0.6255,6
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,33,none,3,0.0005,1,0.5104,0.9889,0.9642,0.7159,0.5868,0.919,0.0123,0.1666,0.6068,11
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,33,all,3,0.001,1,0.5311,0.9924,0.9685,0.7929,0.634,0.9287,0.0296,0.125,0.6244,8
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,33,all,3,0.0005,1,0.5502,0.9865,0.9639,0.69,0.5978,0.906,0.0098,0.1659,0.6244,12
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,16,none,3,0.001,1,0.5598,0.987,0.9649,0.702,0.609,0.9182,0.0165,0.1537,0.6081,9
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,16,none,3,0.0005,1,0.4848,0.991,0.9648,0.7469,0.5851,0.9361,0.051,0.1095,0.6005,7
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,16,all,3,0.001,1,0.5104,0.9909,0.966,0.7529,0.6035,0.9277,0.0327,0.1201,0.6177,7
facebook/esm2_t33_650M_UR50D,4,0.1,valid_mcc,16,all,3,0.0005,1,0.4466,0.9922,0.9639,0.7568,0.5648,0.9294,0.0722,0.1029,0.5931,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,33,none,3,0.001,1,0.4769,0.9933,0.9665,0.7952,0.6006,0.9451,0.0818,0.0937,0.6127,5
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,33,none,3,0.0005,1,0.4737,0.9923,0.9655,0.7714,0.5885,0.9456,0.0976,0.0963,0.5824,5
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,33,all,3,0.001,1,0.4019,0.9929,0.9623,0.7568,0.535,0.943,0.1514,0.1012,0.5567,4
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,33,all,3,0.0005,1,0.5598,0.9866,0.9645,0.695,0.6056,0.9387,0.0952,0.0993,0.5848,5
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,16,none,3,0.001,1,0.4912,0.9925,0.9665,0.7817,0.6041,0.9453,0.0836,0.0927,0.6085,5
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,16,none,3,0.0005,1,0.4641,0.9929,0.9655,0.7802,0.586,0.9327,0.0667,0.0983,0.6078,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,16,all,3,0.001,1,0.5534,0.9892,0.9666,0.7367,0.6219,0.9396,0.0511,0.0993,0.6192,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_bce,16,all,3,0.0005,1,0.5518,0.9855,0.963,0.6745,0.5911,0.9463,0.0979,0.1017,0.571,5
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,33,none,3,0.001,1,0.6156,0.9871,0.9679,0.7228,0.6505,0.9297,0.0338,0.1073,0.6446,7
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,33,none,3,0.0005,1,0.5407,0.9894,0.9661,0.7354,0.6137,0.9215,0.0177,0.1424,0.6175,9
