param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
5,0.5247,0.9875,0.9635,0.6956,0.5858,0.9067,0.0068,0.1933,0.5911,34
6,0.5104,0.9905,0.9656,0.7459,0.6004,0.9016,0.005,0.2049,0.6059,36
6,0.4944,0.99,0.9643,0.7294,0.5833,0.9056,0.007,0.1952,0.5992,33
5,0.5502,0.9847,0.9622,0.6622,0.5841,0.9125,0.0139,0.1963,0.5786,28
6,0.5375,0.9863,0.9631,0.6822,0.5867,0.9117,0.0093,0.18,0.5904,37
5,0.4514,0.9924,0.9644,0.7649,0.5713,0.8875,0.0043,0.2302,0.5942,35
6,0.4896,0.9882,0.9623,0.693,0.5639,0.9073,0.0111,0.1866,0.6021,30
5,0.5885,0.9792,0.9589,0.6069,0.576,0.9161,0.0202,0.1628,0.6042,26
6,0.5789,0.9809,0.9601,0.6237,0.58,0.9008,0.0083,0.1951,0.6013,36
5,0.5502,0.9853,0.9627,0.6712,0.5886,0.9053,0.0105,0.195,0.5857,30
6,0.4418,0.9929,0.9643,0.7716,0.5678,0.9033,0.006,0.2101,0.6073,41
5,0.555,0.9865,0.9642,0.6918,0.6014,0.8934,0.0101,0.1977,0.5859,34
6,0.5343,0.9891,0.9656,0.7283,0.6067,0.9007,0.0051,0.1995,0.5939,37
6,0.504,0.99,0.9648,0.7332,0.5908,0.9013,0.0105,0.1982,0.5858,35
5,0.5375,0.9861,0.9628,0.6781,0.5847,0.9078,0.0148,0.1897,0.5895,30
6,0.4817,0.9918,0.9654,0.7626,0.5899,0.9017,0.0186,0.1884,0.5912,26
5,0.5694,0.9823,0.9609,0.6375,0.5821,0.9145,0.0188,0.1703,0.5978,26
6,0.453,0.993,0.9651,0.7802,0.5787,0.9,0.0076,0.2143,0.5911,33
6,0.429,0.9944,0.9651,0.8078,0.5738,0.8943,0.0028,0.2215,0.5963,41
5,0.4864,0.9915,0.9653,0.7568,0.5904,0.8977,0.013,0.2055,0.6043,32
6,0.4482,0.9927,0.9645,0.7699,0.5713,0.9066,0.0099,0.2042,0.5845,35
6,0.5933,0.9795,0.9595,0.6129,0.5817,0.919,0.0333,0.1624,0.5816,22
5,0.5279,0.9853,0.9616,0.662,0.5715,0.9089,0.0212,0.1769,0.5864,27
5,0.4641,0.9926,0.9652,0.7739,0.5834,0.8902,0.0046,0.2405,0.5866,37
5,0.5566,0.9876,0.9653,0.7108,0.6114,0.9061,0.0176,0.1655,0.6212,27
5,0.4466,0.9922,0.964,0.7588,0.5657,0.9057,0.0099,0.2314,0.5831,39
5,0.4769,0.9915,0.9649,0.7551,0.5836,0.8993,0.0068,0.2076,0.6027,40
8,0.5391,0.9925,0.969,0.7972,0.6408,0.9335,0.0043,0.1695,0.6446,16
8,0.5566,0.9909,0.9684,0.7687,0.6386,0.9389,0.0502,0.0991,0.6301,13
9,0.7416,0.9553,0.9442,0.4755,0.5668,0.9422,0.1045,0.1435,0.6279,15
8,0.6236,0.9883,0.9694,0.7448,0.6658,0.9335,0.0015,0.1601,0.665,17
9,0.7193,0.9708,0.9578,0.5738,0.6207,0.9438,0.0757,0.1326,0.6269,16
8,0.5263,0.9921,0.9679,0.7838,0.627,0.9333,0.043,0.111,0.6524,13
9,0.5662,0.9894,0.9675,0.7442,0.6328,0.9315,0.0285,0.1253,0.6466,23
8,0.4577,0.9954,0.9675,0.8441,0.6078,0.9455,0.0824,0.0941,0.6111,12
9,0.6268,0.9853,0.9667,0.6993,0.6447,0.9199,0.0283,0.1364,0.663,23
8,0.5327,0.9921,0.9683,0.7859,0.6319,0.9335,0.0533,0.1126,0.6378,13
9,0.8134,0.91,0.905,0.3305,0.4807,0.9402,0.1924,0.1908,0.5507,13
