Unnamed: 0,bert_freeze_layer,gearnet_freeze_layer,lr,patience,rus_seed,undersample_rate,early_stop_metric,optimizer,lr_half_epoch,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
96.0,28,0,0.0004,10,30,0.05,valid_mcc,adam,0,0.5359,0.9851,0.9618,0.6627,0.5764,0.9062,0.002,0.1885,0.577,35
97.0,28,0,0.0002,10,31,0.05,valid_mcc,adam,0,0.6156,0.9721,0.9537,0.5467,0.5558,0.9129,0.0025,0.1699,0.5846,29
98.0,28,0,0.0004,10,31,0.05,valid_mcc,adam,0,0.6013,0.9733,0.954,0.5512,0.5514,0.8949,0.0018,0.1808,0.585,38
99.0,28,0,0.0002,10,32,0.05,valid_mcc,adam,0,0.4705,0.9915,0.9645,0.7506,0.5776,0.9058,0.0012,0.1962,0.5949,42
100.0,28,0,0.0004,10,32,0.05,valid_mcc,adam,0,0.5742,0.9792,0.9582,0.601,0.5654,0.9094,0.002,0.1844,0.5823,27
101.0,28,0,0.0002,10,33,0.05,valid_mcc,adam,0,0.6284,0.9679,0.9504,0.5171,0.5441,0.9206,0.0026,0.1643,0.5883,25
102.0,28,0,0.0004,10,33,0.05,valid_mcc,adam,0,0.512,0.9901,0.9653,0.7379,0.5977,0.9024,0.0031,0.2029,0.5782,27
103.0,28,0,0.0002,10,34,0.05,valid_mcc,adam,0,0.5152,0.9872,0.9627,0.6872,0.5763,0.9059,0.0033,0.1472,0.5982,23
104.0,28,0,0.0004,10,34,0.05,valid_mcc,adam,0,0.4753,0.9928,0.966,0.7822,0.5941,0.9004,0.0018,0.2033,0.5945,33
105.0,28,0,0.0002,10,35,0.05,valid_mcc,adam,0,0.5231,0.9841,0.9602,0.6419,0.559,0.9115,0.0012,0.1675,0.5921,43
106.0,28,0,0.0004,10,35,0.05,valid_mcc,adam,0,0.5518,0.9821,0.9599,0.6279,0.5677,0.8974,0.0049,0.1621,0.5803,21
107.0,28,0,0.0002,10,36,0.05,valid_mcc,adam,0,0.5183,0.984,0.9599,0.6385,0.5547,0.8959,0.0007,0.1844,0.5932,56
108.0,28,0,0.0004,10,36,0.05,valid_mcc,adam,0,0.5104,0.9888,0.964,0.7127,0.5853,0.9033,0.0016,0.1962,0.5852,34
109.0,28,0,0.0002,10,37,0.05,valid_mcc,adam,0,0.4864,0.989,0.963,0.7077,0.5686,0.9071,0.0023,0.1545,0.5917,29
110.0,28,0,0.0004,10,37,0.05,valid_mcc,adam,0,0.4466,0.9936,0.9653,0.7932,0.5798,0.8897,0.0021,0.2243,0.5851,29
111.0,28,0,0.0002,10,38,0.05,valid_mcc,adam,0,0.5136,0.986,0.9615,0.6667,0.5656,0.9091,0.0033,0.155,0.5783,23
112.0,28,0,0.0004,10,38,0.05,valid_mcc,adam,0,0.6316,0.9741,0.9564,0.5714,0.5778,0.9131,0.0029,0.1677,0.596,25
113.0,28,0,0.0002,10,39,0.05,valid_mcc,adam,0,0.4163,0.995,0.9651,0.8208,0.5699,0.9057,0.0015,0.1986,0.5946,34
114.0,28,0,0.0004,10,39,0.05,valid_mcc,adam,0,0.5343,0.9823,0.9591,0.6227,0.5556,0.9053,0.0031,0.1973,0.5844,29
115.0,28,0,0.0002,10,40,0.05,valid_mcc,adam,0,0.5136,0.9865,0.962,0.6751,0.5696,0.9102,0.0025,0.158,0.5924,28
116.0,28,0,0.0004,10,40,0.05,valid_mcc,adam,0,0.6236,0.9753,0.9571,0.5801,0.5789,0.9162,0.0018,0.1854,0.5851,38
117.0,28,0,0.0002,10,41,0.05,valid_mcc,adam,0,0.5518,0.9834,0.961,0.6443,0.5761,0.9,0.0023,0.1632,0.5945,25
118.0,28,0,0.0004,10,41,0.05,valid_mcc,adam,0,0.4976,0.9876,0.9623,0.6872,0.566,0.8971,0.0018,0.2182,0.5869,35
119.0,28,0,0.0002,10,42,0.05,valid_mcc,adam,0,0.5885,0.9823,0.9619,0.6451,0.5962,0.9126,0.0014,0.1596,0.5903,37
120.0,28,0,0.0004,10,42,0.05,valid_mcc,adam,0,0.5311,0.9872,0.9636,0.6938,0.5886,0.9063,0.0022,0.1758,0.5974,31
121.0,28,0,0.0002,10,43,0.05,valid_mcc,adam,0,0.5774,0.978,0.9573,0.5896,0.5609,0.9128,0.0015,0.1605,0.5822,33
122.0,28,0,0.0004,10,43,0.05,valid_mcc,adam,0,0.6108,0.9789,0.9599,0.6128,0.5907,0.9174,0.0041,0.1684,0.5698,21
123.0,28,0,0.0002,10,44,0.05,valid_mcc,adam,0,0.4817,0.9913,0.9649,0.7512,0.5849,0.9088,0.0018,0.1778,0.5887,35
124.0,28,0,0.0004,10,44,0.05,valid_mcc,adam,0,0.4609,0.9915,0.9641,0.7487,0.5707,0.8946,0.0012,0.2458,0.5918,42
125.0,28,0,0.0002,10,45,0.05,valid_mcc,adam,0,0.5439,0.9848,0.9619,0.6609,0.5799,0.9042,0.0021,0.1583,0.5924,31
126.0,28,0,0.0004,10,45,0.05,valid_mcc,adam,0,0.5582,0.9817,0.9598,0.625,0.5696,0.9041,0.003,0.1732,0.5856,28
127.0,28,0,0.0002,10,46,0.05,valid_mcc,adam,0,0.5327,0.9838,0.9604,0.6423,0.5645,0.9193,0.0026,0.1466,0.5939,29
128.0,28,0,0.0004,10,46,0.05,valid_mcc,adam,0,0.6172,0.9699,0.9517,0.5287,0.5459,0.8914,0.0018,0.1925,0.5767,32
129.0,28,0,0.0002,10,47,0.05,valid_mcc,adam,0,0.5455,0.9853,0.9625,0.6693,0.5849,0.9157,0.003,0.146,0.5947,26
130.0,28,0,0.0004,10,47,0.05,valid_mcc,adam,0,0.5502,0.9843,0.9618,0.6571,0.5816,0.9073,0.0031,0.1703,0.5945,27
131.0,28,0,0.0002,10,48,0.05,valid_mcc,adam,0,0.6093,0.9703,0.9516,0.5284,0.542,0.9188,0.0048,0.1469,0.5746,20
132.0,28,0,0.0004,10,48,0.05,valid_mcc,adam,0,0.5534,0.9821,0.9599,0.6275,0.5684,0.8935,0.0034,0.2018,0.5807,30
133.0,28,0,0.0002,10,49,0.05,valid_mcc,adam,0,0.4737,0.9895,0.9628,0.7122,0.5629,0.9144,0.0022,0.1675,0.6009,26
134.0,28,0,0.0004,10,49,0.05,valid_mcc,adam,0,0.5885,0.9762,0.9561,0.5748,0.5585,0.888,0.0016,0.1985,0.5911,36
135.0,28,0,0.0002,10,50,0.05,valid_mcc,adam,0,0.512,0.9909,0.9661,0.7553,0.6055,0.9071,0.0016,0.1633,0.5908,31
136.0,28,0,0.0004,10,50,0.05,valid_mcc,adam,0,0.5072,0.9868,0.962,0.678,0.5673,0.9095,0.0025,0.2017,0.5872,28
137.0,28,0,0.0002,10,51,0.05,valid_mcc,adam,0,0.5502,0.9789,0.9567,0.5877,0.5459,0.9072,0.0038,0.1483,0.5832,27
138.0,28,0,0.0004,10,51,0.05,valid_mcc,adam,0,0.6236,0.9783,0.9599,0.6109,0.5961,0.9154,0.0029,0.1869,0.5827,26
139.0,28,0,0.0002,10,52,0.05,valid_mcc,adam,0,0.5455,0.9821,0.9594,0.6241,0.5623,0.9106,0.0015,0.1711,0.592,40
140.0,28,0,0.0004,10,52,0.05,valid_mcc,adam,0,0.5726,0.9834,0.9621,0.6527,0.5916,0.9014,0.0034,0.1705,0.585,27
141.0,28,0,0.0002,10,53,0.05,valid_mcc,adam,0,0.5231,0.9877,0.9637,0.6994,0.5866,0.9181,0.0023,0.1802,0.5783,26
142.0,28,0,0.0004,10,53,0.05,valid_mcc,adam,0,0.547,0.9868,0.964,0.6929,0.5974,0.904,0.0026,0.183,0.5894,25
143.0,28,0,0.0002,10,54,0.05,valid_mcc,adam,0,0.673,0.9638,0.9488,0.5042,0.5563,0.9206,0.0043,0.1591,0.5703,22
144.0,28,0,0.0004,10,54,0.05,valid_mcc,adam,0,0.5598,0.9823,0.9604,0.6336,0.5749,0.9091,0.0011,0.1792,0.6014,50
145.0,28,0,0.0002,10,55,0.05,valid_mcc,adam,0,0.4609,0.9908,0.9633,0.7316,0.5634,0.9,0.0012,0.2006,0.5977,54
146.0,28,0,0.0004,10,55,0.05,valid_mcc,adam,0,0.6061,0.9757,0.9566,0.5766,0.5682,0.9074,0.0016,0.173,0.5858,35
147.0,28,0,0.0002,10,56,0.05,valid_mcc,adam,0,0.5981,0.9781,0.9585,0.599,0.5767,0.9167,0.0047,0.1432,0.5765,21
148.0,28,0,0.0004,10,56,0.05,valid_mcc,adam,0,0.622,0.966,0.9482,0.5,0.5308,0.9242,0.0034,0.1667,0.5787,27
149.0,28,0,0.0002,10,57,0.05,valid_mcc,adam,0,0.5391,0.9888,0.9656,0.7253,0.6081,0.9112,0.0014,0.1681,0.6043,34
150.0,28,0,0.0004,10,57,0.05,valid_mcc,adam,0,0.5152,0.99,0.9654,0.7374,0.5995,0.9149,0.0024,0.1904,0.5923,33
151.0,28,0,0.0002,10,58,0.05,valid_mcc,adam,0,0.4737,0.9936,0.9667,0.8027,0.6016,0.9053,0.0007,0.1903,0.599,40
152.0,28,0,0.0004,10,58,0.05,valid_mcc,adam,0,0.4801,0.9921,0.9656,0.7679,0.5911,0.8909,0.0018,0.2316,0.5922,32
153.0,28,0,0.0002,10,59,0.05,valid_mcc,adam,0,0.5263,0.9861,0.9623,0.6748,0.5768,0.9041,0.0022,0.159,0.5876,30
154.0,28,0,0.0004,10,59,0.05,valid_mcc,adam,0,0.563,0.9825,0.9608,0.6372,0.5785,0.9067,0.0034,0.1566,0.5614,23
155.0,28,0,0.0002,10,60,0.05,valid_mcc,adam,0,0.5789,0.9842,0.9632,0.6673,0.6024,0.916,0.0019,0.1642,0.5818,35
156.0,28,0,0.0004,10,60,0.05,valid_mcc,adam,0,0.6124,0.979,0.96,0.6144,0.5923,0.9139,0.0018,0.1955,0.5875,30
157.0,28,0,0.0002,10,61,0.05,valid_mcc,adam,0,0.496,0.9875,0.962,0.6835,0.5633,0.9126,0.0033,0.1418,0.5771,23
158.0,28,0,0.0004,10,61,0.05,valid_mcc,adam,0,0.5327,0.9851,0.9617,0.6614,0.5739,0.9063,0.0016,0.2016,0.5783,40
159.0,28,0,0.0002,10,62,0.05,valid_mcc,adam,0,0.5359,0.9859,0.9626,0.6747,0.5822,0.9045,0.0025,0.1648,0.5854,28
160.0,28,0,0.0004,10,62,0.05,valid_mcc,adam,0,0.5008,0.9916,0.9662,0.7659,0.6033,0.9134,0.0015,0.2177,0.5855,38
161.0,28,0,0.0002,10,63,0.05,valid_mcc,adam,0,0.5375,0.9852,0.962,0.6647,0.5782,0.912,0.0031,0.1562,0.5875,23
162.0,28,0,0.0004,10,63,0.05,valid_mcc,adam,0,0.6443,0.9742,0.9571,0.5771,0.5873,0.9166,0.0025,0.1833,0.5786,24
163.0,28,0,0.0002,10,64,0.05,valid_mcc,adam,0,0.5008,0.9889,0.9637,0.712,0.5793,0.9156,0.002,0.1564,0.6027,30
164.0,28,0,0.0004,10,64,0.05,valid_mcc,adam,0,0.6587,0.9634,0.9476,0.4958,0.5446,0.9202,0.0042,0.1805,0.5728,21
165.0,28,0,0.0002,10,65,0.05,valid_mcc,adam,0,0.5391,0.9878,0.9646,0.7071,0.5996,0.9043,0.0022,0.1556,0.5898,27
166.0,28,0,0.0004,10,65,0.05,valid_mcc,adam,0,0.445,0.9924,0.9641,0.7623,0.5661,0.8908,0.0013,0.2594,0.5881,36
167.0,28,0,0.0002,10,66,0.05,valid_mcc,adam,0,0.5359,0.9882,0.9647,0.7119,0.5999,0.8969,0.0016,0.1631,0.5905,30
168.0,28,0,0.0004,10,66,0.05,valid_mcc,adam,0,0.5917,0.977,0.957,0.5843,0.5653,0.9106,0.0011,0.2036,0.5786,43
169.0,28,0,0.0002,10,67,0.05,valid_mcc,adam,0,0.4306,0.992,0.9629,0.7459,0.5499,0.9067,0.0017,0.1657,0.589,32
170.0,28,0,0.0004,10,67,0.05,valid_mcc,adam,0,0.555,0.9848,0.9626,0.6667,0.589,0.912,0.0023,0.1867,0.5917,32
171.0,28,0,0.0002,10,68,0.05,valid_mcc,adam,0,0.5662,0.9819,0.9604,0.6306,0.5768,0.9216,0.0017,0.1616,0.5995,39
