model_key,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,valid_mcc,train_bce,valid_bce,lr,fold,finished_at
esm-33-gearnet-rboost50,0.6415,0.9901,0.9766,0.7234,0.6692,0.9057,0.8205,,,,4,2023-12-08 19:48:24
esm-33-gearnet-pretrained-rboost50,0.6179,0.9951,0.9805,0.8344,0.7086,0.9252,0.8893,,,,0,2023-12-08 20:04:51
esm-33-gearnet-pretrained-rboost50,0.5802,0.996,0.9799,0.8542,0.6947,0.9182,0.8675,,,,1,2023-12-08 20:21:15
esm-33-gearnet-pretrained-rboost50,0.4387,0.9962,0.9746,0.823,0.5901,0.7694,0.8236,,,,2,2023-12-08 20:37:41
esm-33-gearnet-pretrained-rboost50,0.6651,0.9945,0.9817,0.8294,0.7336,0.9345,0.6361,,,,3,2023-12-08 20:54:05
esm-33-gearnet-pretrained-rboost50,0.6274,0.9922,0.9781,0.7644,0.6814,0.884,0.818,,,,4,2023-12-08 21:10:28
esm-33-gearnet-pretrained-rboost10,0.75,0.9873,0.9781,0.7035,0.715,0.9268,0.8742,,,,0,2023-12-08 21:27:06
esm-33-gearnet-pretrained-rboost10,0.6698,0.9926,0.9801,0.7845,0.7148,0.9202,0.8482,,,,1,2023-12-08 21:43:41
esm-33-gearnet-pretrained-rboost10,0.4858,0.9935,0.9739,0.7518,0.5921,0.791,0.8216,,,,2,2023-12-08 22:00:29
esm-33-gearnet-pretrained-rboost10,0.684,0.9916,0.9797,0.7672,0.714,0.922,0.6395,,,,3,2023-12-08 22:17:08
esm-33-gearnet-pretrained-rboost10,0.7075,0.9886,0.9777,0.7143,0.6993,0.8841,0.8133,,,,4,2023-12-08 22:33:38
esm-33-gearnet-pretrained-freezelm-rboost50,0.6368,0.9943,0.9805,0.8182,0.7122,0.9096,0.901,,,,0,2023-12-08 22:49:08
esm-33-gearnet-pretrained-freezelm-rboost50,0.5283,0.9962,0.9781,0.8485,0.6597,0.9152,0.8667,,,,1,2023-12-08 23:04:43
esm-33-gearnet-pretrained-freezelm-rboost50,0.5472,0.9871,0.9701,0.6304,0.5719,0.7745,0.8239,,,,2,2023-12-08 23:20:26
esm-33-gearnet-pretrained-freezelm-rboost50,0.6604,0.9945,0.9816,0.8284,0.7305,0.927,0.6404,,,,3,2023-12-08 23:35:56
esm-33-gearnet-pretrained-freezelm-rboost50,0.533,0.9949,0.977,0.8071,0.6452,0.8987,0.8224,,,,4,2023-12-08 23:51:24
esm-33-gearnet-pretrained-freezelm-rboost25,0.6132,0.9947,0.9799,0.8228,0.7006,0.9175,0.9007,,,,0,2023-12-09 00:06:56
esm-33-gearnet-pretrained-freezelm-rboost25,0.5472,0.9958,0.9785,0.8406,0.6683,0.9154,0.8698,,,,1,2023-12-09 00:22:28
esm-33-gearnet-pretrained-freezelm-rboost25,0.434,0.996,0.9743,0.8142,0.5835,0.7708,0.8264,,,,2,2023-12-09 00:38:04
esm-33-gearnet-pretrained-freezelm-rboost25,0.6651,0.9947,0.9819,0.8343,0.736,0.934,0.6378,,,,3,2023-12-09 00:53:41
esm-33-gearnet-pretrained-freezelm-rboost25,0.6368,0.9915,0.9777,0.75,0.6797,0.8988,0.8268,,,,4,2023-12-09 01:09:11
esm-33-gearnet-pretrained-freezelm-rboost10,0.6934,0.9899,0.9785,0.735,0.7027,0.9169,0.8736,,,,0,2023-12-09 01:24:48
esm-33-gearnet-pretrained-freezelm-rboost10,0.7075,0.9899,0.979,0.7389,0.7122,0.9275,0.8416,,,,1,2023-12-09 01:40:21
esm-33-gearnet-pretrained-freezelm-rboost10,0.5189,0.992,0.9737,0.7237,0.5999,0.7698,0.8216,,,,2,2023-12-09 01:55:55
esm-33-gearnet-pretrained-freezelm-rboost10,0.7123,0.9905,0.9797,0.7512,0.721,0.9226,0.6352,,,,3,2023-12-09 02:11:25
esm-33-gearnet-pretrained-freezelm-rboost10,0.6698,0.9903,0.9779,0.7358,0.6906,0.8909,0.8066,,,,4,2023-12-09 02:26:55
esm-33-gearnet-pretrained-freezelm-rboost05,0.7406,0.9795,0.9702,0.5925,0.6473,0.9223,0.8392,,,,0,2023-12-09 02:42:34
esm-33-gearnet-pretrained-freezelm-rboost05,0.7406,0.984,0.9746,0.6515,0.6815,0.9192,0.8217,,,,1,2023-12-09 02:58:07
esm-33-gearnet-pretrained-freezelm-rboost05,0.5377,0.9856,0.9682,0.6,0.5516,0.7568,0.8077,,,,2,2023-12-09 03:13:46
esm-33-gearnet-pretrained-freezelm-rboost05,0.7547,0.9806,0.9719,0.6107,0.6646,0.9319,0.617,,,,3,2023-12-09 03:29:21
esm-33-gearnet-pretrained-freezelm-rboost05,0.6792,0.9899,0.9779,0.731,0.6932,0.8875,0.793,,,,4,2023-12-09 03:44:50
esm-33-gearnet-ensemble,0.5802,0.9935,0.9775,0.7834,0.6632,0.9152,0.8839,,,,0,2023-12-09 22:44:20
esm-33-gearnet-ensemble,0.5991,0.9943,0.979,0.8089,0.6859,0.9143,0.8632,,,,1,2023-12-09 23:00:30
esm-33-gearnet-ensemble,0.4151,0.9956,0.9732,0.7928,0.5623,0.7486,0.812,,,,2,2023-12-09 23:16:42
esm-33-gearnet-ensemble,0.7358,0.9842,0.9746,0.6527,0.6799,0.9273,0.6268,,,,3,2023-12-09 23:33:18
esm-33-gearnet-ensemble,0.6368,0.9875,0.9739,0.6716,0.6404,0.8875,0.8042,,,,4,2023-12-09 23:49:27
esm-33-gearnet-pretrained-ensemble,0.5566,0.9966,0.9795,0.8676,0.6857,0.9243,0.885,,,,0,2023-12-10 00:05:53
esm-33-gearnet-pretrained-ensemble,0.5708,0.9968,0.9803,0.8768,0.6985,0.9195,0.8691,,,,1,2023-12-10 00:22:30
esm-33-gearnet-pretrained-ensemble,0.467,0.9949,0.9744,0.7857,0.5942,0.7639,0.8092,,,,2,2023-12-10 00:39:10
esm-33-gearnet-pretrained-ensemble,0.5755,0.9953,0.979,0.8299,0.6812,0.921,0.6509,,,,3,2023-12-10 00:55:48
esm-33-gearnet-pretrained-ensemble,0.6792,0.9878,0.9759,0.6923,0.6732,0.9026,0.8097,,,,4,2023-12-10 01:12:24
esm-33-gearnet-pretrained-freezelm-ensemble,0.6038,0.9943,0.9792,0.8101,0.6893,0.9141,0.8802,,,,0,2023-12-10 01:27:55
esm-33-gearnet-pretrained-freezelm-ensemble,0.6321,0.993,0.979,0.7836,0.6933,0.9215,0.8487,,,,1,2023-12-10 01:43:32
esm-33-gearnet-pretrained-freezelm-ensemble,0.4717,0.9949,0.9746,0.7874,0.598,0.7805,0.8235,,,,2,2023-12-10 01:59:11
esm-33-gearnet-pretrained-freezelm-ensemble,0.5755,0.9947,0.9785,0.8133,0.6739,0.9326,0.6482,,,,3,2023-12-10 02:14:41
esm-33-gearnet-pretrained-freezelm-ensemble,0.5519,0.9932,0.9761,0.7647,0.638,0.9002,0.8166,,,,4,2023-12-10 02:30:09
